Tags,Tags_simple
.net,.net
.net-1.1,ada
.net-2.0,angular
.net-3.5,applescript
.net-4.0,asp.net
.net-4.5,awk
.net-4.5.2,bash
.net-4.6,basic
.net-5,batch-file
ada,beta
angular,boo
applescript,c
asp.net,c#
asp.net-2.0,c++
asp.net-3.5,clips
asp.net-4.0,cold-fusion
asp.net-4.5,compass
awk,coq
bash,csh
basic,css
batch-file,curl
bc,cython
beta,d
boo,dart
c,darwin
c#,datalog
c#-2.0,dbase
c#-3.0,delphi
c#-4.0,ecmascript
c#-5.0,eiffel
c#-6.0,elixir
c#-7.0,elm
c#-8.0,emacs
c#-9.0,epl
c++,erlang
c++03,f#
c++11,factor-lang
c++14,fish
c++17,flex
c++20,focus
c++98,forth
clips,fortran
coffeescript,fortress
coldfusion,gnu
coldfusion-8,go
coldfusion-9,groovy
compass,haskell
coq,html
csh,io
css,j
curl,j#
cython,java
d,javafx
dart,javascript
darwin,jess
datalog,jquery
dbase,jscript
delphi,json
delphi-10-seattle,julia
delphi-10.2-tokyo,jython
delphi-10.3-rio,jzmq
delphi-2006,kotlin
delphi-2007,linq
delphi-2009,lisp
delphi-2010,machine-code
delphi-5,matlab
delphi-6,max
delphi-7,mysql
ecmascript-2016,neko
ecmascript-2017,nemerle
ecmascript-5,newlisp
ecmascript-6,newspeak
eiffel,ocaml
elixir,occam-pi
elm,octave
emacs,opencl
epl,pascal
erlang,perl
f#,pharo
factor-lang,php
fish,plesk
flex3,postscript
flex4,powershell
focus,processing
forth,processing.js
fortran,prolog
fortran77,purescript
fortran90,python
fortress,q
gnu,r
go,ruby
groovy,scala
haskell,spark
html,sql
io,verilog
j,vhdl
j#,Visual-c#
java,visual-c++
java-10,xml
java-11,
java-12,
java-14,
java-16,
java-17,
java-2d,
java-3d,
java-5,
java-6,
java-7,
java-8,
java-9,
javafx,
javafx-2,
javafx-3d,
javafx-8,
javascript,
jess,
jquery,
jscript,
json,
julia,
jython,
jzmq,
kotlin,
linq,
lisp,
machine-code,
matlab,
max,
mysql,
mysql-8.0,
neko,
nemerle,
newlisp,
newspeak,
ocaml,
occam-pi,
octave,
opencl,
pascal,
perl,
pharo,
php,
php-5.2,
php-5.3,
php-5.4,
php-5.5,
php-5.6,
php-7,
php-7.1,
php-7.2,
php-7.3,
php-7.4,
php-8,
plesk,
postscript,
powershell,
powershell-2.0,
powershell-3.0,
powershell-5.0,
processing,
processing.js,
prolog,
purescript,
python,
python-2.3,
python-2.5,
python-2.6,
python-2.7,
python-2.x,
python-3.3,
python-3.4,
python-3.5,
python-3.6,
python-3.7,
python-3.8,
python-3.9,
python-3.x,
q,
r,
ruby,
ruby-1.9,
ruby-1.9.1,
ruby-1.9.3,
ruby-2.0,
ruby-2.3,
ruby-2.7,
scala,
scala-2.10,
scala-2.11,
scala-2.13,
scala-2.8,
spark-java,
spark-streaming,
sql,
verilog,
vhdl,
visual-c#-express-2010,
visual-c++,
visual-c++-2005,
visual-c++-2008,
visual-c++-2008-express,
visual-c++-2010,
visual-c++-2013,
visual-c++-6,
xml,
